0000, c94a
0001, eab0
0002, 40f8
0003, 3ee3
0004, dab0
0005, fc93
0006, 4bc4
0007, cbd3
0008, 38b6
0009, fc92
000a, abc6
000b, ce3a
000c, 2bf5
000d, 1f93
000e, abf7
000f, d92a
0010, 30b7
0011, 0966
0012, 5745
0013, 303e
0014, 5e83
0015, 3653
0016, 0364
0017, 75e5
0018, db7f
0019, 95ea
001a, fbd1
001b, 13d0
001c, d922
001d, 6024
001e, d2b0
001f, 4e92
0020, b96b
0021, 9ad9
0022, 1a08
0023, bc12
0024, 3f50
0025, 71af
0026, 62ea
0027, bc68
0028, 8f43
0029, bf2b
002a, 5d16
002b, d48e
002c, 5fcc
002d, 24db
002e, 3c13
002f, 9b10
0030, 31b6
0031, 0967
0032, c4f4
0033, 40b1
0034, b77f
0035, 955a
0036, a6d1
0037, bc97
0038, 05c5
0039, bee2
003a, 6b26
003b, ccf0
003c, 719a
003d, e5c6
003e, e019
003f, 36ee
0040, 5c00
0041, 8e9b
0042, 56cc
0043, d898
0044, 5e8f
0045, 14d9
0046, 3cd0
0047, dfe4
0048, 94ed
0049, 6049
004a, bb99
004b, bad3
004c, f019
004d, 65fc
004e, e35c
004f, 2e5c
0050, 89ed
0051, cde7
0052, 0cad
0053, ea6c
0054, 72ce
0055, d303
0056, 4ec8
0057, b8ce
0058, ae0b
0059, edcb
005a, 5c6e
005b, dce8
005c, 19e3
005d, 29de
005e, 61cd
005f, 6756
0060, 717b
0061, fee0
0062, 5884
0063, 870f
0064, 6091
0065, df38
0066, 4411
0067, e236
0068, c039
0069, e722
006a, abc7
006b, 145d
006c, 94a4
006d, 6327
006e, 3594
006f, 7912
0070, 6e57
0071, 9f9f
0072, 32fd
0073, 12e3
0074, d32a
0075, dcf3
0076, 74fa
0077, 2e23
0078, 17a2
0079, 0b70
007a, 925f
007b, 7a64
007c, 0a5a
007d, 32fe
007e, f649
007f, 0d28
0080, afa5
0081, 6d44
0082, 935c
0083, 23e1
0084, f27d
0085, 5f52
0086, c6d1
0087, b8c4
0088, 36a0
0089, ccf3
008a, 84b2
008b, 7392
008c, 30c8
008d, 82d7
008e, b159
008f, 278b
0090, 8762
0091, bbf8
0092, 4236
0093, 3e2f
0094, ebfe
0095, f699
0096, 5c38
0097, 8b9b
0098, 5818
0099, 9a9e
009a, aeb9
009b, c636
009c, 2e3c
009d, 5a0f
009e, ffef
009f, 7091
00a0, 3797
00a1, 9f93
00a2, 3346
00a3, de2b
00a4, 51ce
00a5, c5fb
00a6, 7427
00a7, 13e4
00a8, d94a
00a9, 56e1
00aa, 349b
00ab, 7293
00ac, 4bd7
00ad, 1670
00ae, 72cd
00af, 1e90
00b0, cb7f
00b1, dac4
00b2, b6d3
00b3, 69f0
00b4, ad59
00b5, 43fb
00b6, 168b
00b7, 1d62
00b8, 3bf7
00b9, ae90
00ba, 8894
00bb, 303f
00bc, 0e81
00bd, 8966
00be, aca1
00bf, 2ef0
00c0, e0bf
00c1, 5f50
00c2, 739e
00c3, 8a46
00c4, 6813
00c5, 14e6
00c6, 669b
00c7, fb7a
00c8, cb10
00c9, ce39
00ca, 8e9d
00cb, bd7e
00cc, 9f05
00cd, 61c9
00ce, 1b56
00cf, e443
00d0, 1148
00d1, ca90
00d2, 1dd2
00d3, 870a
00d4, 33b2
00d5, 4cc5
00d6, 6666
00d7, b662
00d8, a309
00d9, e777
00da, dc84
00db, 313e
00dc, 8690
00dd, 2651
00de, 12d7
00df, 92a2
00e0, c773
00e1, 72f5
00e2, 1cd9
00e3, 2f18
00e4, f105
00e5, 4777
00e6, 7f5d
00e7, cacb
00e8, 3001
00e9, ae9c
00ea, 9ddc
00eb, d622
00ec, 1c28
00ed, b458
00ee, 37a2
00ef, 0818
00f0, deae
00f1, 2497
00f2, 0db9
00f3, cb18
00f4, 67ab
00f5, 18a8
00f6, 2cdb
00f7, ecde
